text,char,flags,length,unk
[M:IDL02],0xc031,0x0000,0x0000,0x0000
[M:IDL03],0xc032,0x0000,0x0000,0x0000
[M:IDL04],0xc033,0x0000,0x0000,0x0000
[M:IDL05],0xc034,0x0000,0x0000,0x0000
[M:IDL06],0xc035,0x0000,0x0000,0x0000
[M:IDL07],0xc036,0x0000,0x0000,0x0000
[M:IDL08],0xc037,0x0000,0x0000,0x0000
[M:IDL09],0xc038,0x0000,0x0000,0x0000
[M:IDL10],0xc039,0x0000,0x0000,0x0000
[M:IDL11],0xc03a,0x0000,0x0000,0x0000
[M:IDL12],0xc03b,0x0000,0x0000,0x0000
[M:IDL13],0xc03c,0x0000,0x0000,0x0000
[M:IDL14],0xc03d,0x0000,0x0000,0x0000
[M:IDL15],0xc03e,0x0000,0x0000,0x0000
[M:IDL16],0xc03f,0x0000,0x0000,0x0000
[M:IDL17],0xc040,0x0000,0x0000,0x0000
[M:I0101],0xc041,0x0000,0x0000,0x0000
[M:I0104],0xc042,0x0000,0x0000,0x0000
[M:I0102],0xc043,0x0000,0x0000,0x0000
[M:I0103],0xc044,0x0000,0x0000,0x0000
[M:I1402],0xc045,0x0000,0x0000,0x0000
[M:I1403],0xc046,0x0000,0x0000,0x0000
[M:I1404],0xc047,0x0000,0x0000,0x0000
[M:I1405],0xc048,0x0000,0x0000,0x0000
[M:IDL21],0xc049,0x0000,0x0000,0x0000
[M:IDL22],0xc04a,0x0000,0x0000,0x0000
[M:IDL23],0xc04b,0x0000,0x0000,0x0000
[M:IDL31],0xc04c,0x0000,0x0000,0x0000
[M:IDL32],0xc04d,0x0000,0x0000,0x0000
[M:IDL33],0xc04e,0x0000,0x0000,0x0000
[M:IDL34],0xc04f,0x0000,0x0000,0x0000
[M:IDL35],0xc050,0x0000,0x0000,0x0000
[M:IDL41],0xc051,0x0000,0x0000,0x0000
[M:IDL61],0xc052,0x0000,0x0000,0x0000
[M:IDL51],0xc053,0x0000,0x0000,0x0000
[M:IDL71],0xc054,0x0000,0x0000,0x0000
[M:TNORMAL],0xc055,0x0000,0x0000,0x0000
[M:TFIRE],0xc056,0x0000,0x0000,0x0000
[M:TGRASS],0xc057,0x0000,0x0000,0x0000
[M:TWATER],0xc058,0x0000,0x0000,0x0000
[M:TELECTRIC],0xc059,0x0000,0x0000,0x0000
[M:TGROUND],0xc05a,0x0000,0x0000,0x0000
[M:TFLYING],0xc05b,0x0000,0x0000,0x0000
[M:TPSYCHIC],0xc05c,0x0000,0x0000,0x0000
[M:TBUG],0xc05d,0x0000,0x0000,0x0000
[M:TROCK],0xc05e,0x0000,0x0000,0x0000
[M:TGHOST],0xc05f,0x0000,0x0000,0x0000
[M:TFIGHTING],0xc060,0x0000,0x0000,0x0000
[M:TPOISON],0xc061,0x0000,0x0000,0x0000
[M:TICE],0xc062,0x0000,0x0000,0x0000
[M:TSTEEL],0xc063,0x0000,0x0000,0x0000
[M:TDRAGON],0xc064,0x0000,0x0000,0x0000
[M:TDARK],0xc065,0x0000,0x0000,0x0000
[M:INFINITY12],0xc066,0x0000,0x0000,0x0000
[M:INFINITY16],0xc067,0x0000,0x0000,0x0000
[M:P01ON],0xc068,0x0000,0x0000,0x0000
[M:P02ON],0xc069,0x0000,0x0000,0x0000
[M:P03ON],0xc06a,0x0000,0x0000,0x0000
[M:P04ON],0xc06b,0x0000,0x0000,0x0000
[M:P01OFF],0xc06c,0x0000,0x0000,0x0000
[M:P02OFF],0xc06d,0x0000,0x0000,0x0000
[M:P03OFF],0xc06e,0x0000,0x0000,0x0000
[M:P04OFF],0xc06f,0x0000,0x0000,0x0000
[M:MONEY],0xc070,0x0000,0x0000,0x0000
[M:MONEYS],0xc071,0x0000,0x0000,0x0000
[M:INGOT],0xc072,0x0000,0x0000,0x0000
[M:BAGS],0xc073,0x0000,0x0000,0x0000
[M:BOX],0xc074,0x0000,0x0000,0x0000
[M:I1603],0xc075,0x0000,0x0000,0x0000
[M:I1602],0xc076,0x0000,0x0000,0x0000
[M:NEW],0xc077,0x0000,0x0000,0x0000
[M:LOCK],0xc078,0x0000,0x0000,0x0000
[M:UP],0xc079,0x0000,0x0000,0x0000
[M:DOWN],0xc07a,0x0000,0x0000,0x0000
[M:RECYCLE],0xc07b,0x0000,0x0000,0x0000
[M:VWV],0xc07c,0x0000,0x0000,0x0000
[M:DLCI],0xc07d,0x0000,0x0000,0x0000
[M:PIOFF],0xc07e,0x0000,0x0000,0x0000
[M:PION],0xc07f,0x0000,0x0000,0x0000
[M:S01],0xc080,0x0000,0x0000,0x0000
[M:CM00],0xc081,0x0000,0x0000,0x0000
[M:Q02],0xc082,0x0000,0x0000,0x0000
[M:CM01],0xc083,0x0000,0x0000,0x0000
[M:CM02],0xc084,0x0000,0x0000,0x0000
[M:WC01],0xc085,0x0000,0x0000,0x0000
[M:WC02],0xc086,0x0000,0x0000,0x0000
[M:WC03],0xc087,0x0000,0x0000,0x0000
[M:WC04],0xc088,0x0000,0x0000,0x0000
[M:WC05],0xc089,0x0000,0x0000,0x0000
[M:WC06],0xc08a,0x0000,0x0000,0x0000
[M:WC07],0xc08b,0x0000,0x0000,0x0000
[M:WC08],0xc08c,0x0000,0x0000,0x0000
[M:WC09],0xc08d,0x0000,0x0000,0x0000
[M:QDSTAR],0xc08e,0x0000,0x0000,0x0000
[M:WN],0xc08f,0x0000,0x0000,0x0000
[M:WE],0xc090,0x0000,0x0000,0x0000
[M:WS],0xc091,0x0000,0x0000,0x0000
[M:Q05],0xc092,0x0000,0x0000,0x0000
[M:Q00],0xc093,0x0000,0x0000,0x0000
[M:Q06],0xc094,0x0000,0x0000,0x0000
[M:Q01],0xc095,0x0000,0x0000,0x0000
[M:WE00],0xc096,0x0000,0x0000,0x0000
[M:WE01],0xc097,0x0000,0x0000,0x0000
[M:WE02],0xc098,0x0000,0x0000,0x0000
[M:WE03],0xc099,0x0000,0x0000,0x0000
[M:WE04],0xc09a,0x0000,0x0000,0x0000
[M:WE05],0xc09b,0x0000,0x0000,0x0000
[M:WE06],0xc09c,0x0000,0x0000,0x0000
[M:WE07],0xc09d,0x0000,0x0000,0x0000
[M:WE08],0xc09e,0x0000,0x0000,0x0000
[M:WE09],0xc09f,0x0000,0x0000,0x0000
[M:WE10],0xc0a0,0x0000,0x0000,0x0000
[M:WE11],0xc0a1,0x0000,0x0000,0x0000
[M:WE12],0xc0a2,0x0000,0x0000,0x0000
[M:WE13],0xc0a3,0x0000,0x0000,0x0000
[M:WE14],0xc0a4,0x0000,0x0000,0x0000
[M:WE15],0xc0a5,0x0000,0x0000,0x0000
[M:WE16],0xc0a6,0x0000,0x0000,0x0000
[M:WE17],0xc0a7,0x0000,0x0000,0x0000
[M:WE18],0xc0a8,0x0000,0x0000,0x0000
[M:WE19],0xc0a9,0x0000,0x0000,0x0000
[M:WE20],0xc0aa,0x0000,0x0000,0x0000
[M:WE21],0xc0ab,0x0000,0x0000,0x0000
[M:WE22],0xc0ac,0x0000,0x0000,0x0000
[M:WE23],0xc0ad,0x0000,0x0000,0x0000
[M:B01],0xc0ae,0x0000,0x0000,0x0000
[M:B02],0xc0af,0x0000,0x0000,0x0000
[M:B05],0xc0b0,0x0000,0x0000,0x0000
[M:B06],0xc0b1,0x0000,0x0000,0x0000
[M:B03],0xc0b2,0x0000,0x0000,0x0000
[M:B04],0xc0b3,0x0000,0x0000,0x0000
[M:B08],0xc0b4,0x0000,0x0000,0x0000
[M:B07],0xc0b5,0x0000,0x0000,0x0000
[M:B12],0xc0b6,0x0000,0x0000,0x0000
[M:B13],0xc0b7,0x0000,0x0000,0x0000
[M:B14],0xc0b8,0x0000,0x0000,0x0000
[M:B19],0xc0b9,0x0000,0x0000,0x0000
[M:B20],0xc0ba,0x0000,0x0000,0x0000
[M:B21],0xc0bb,0x0000,0x0000,0x0000
[M:B22],0xc0bc,0x0000,0x0000,0x0000
[M:B09],0xc0bd,0x0000,0x0000,0x0000
[M:B10],0xc0be,0x0000,0x0000,0x0000
[M:B11],0xc0bf,0x0000,0x0000,0x0000
[M:B15],0xc0c0,0x0000,0x0000,0x0000
[M:B16],0xc0c1,0x0000,0x0000,0x0000
[M:B17],0xc0c2,0x0000,0x0000,0x0000
[M:B18],0xc0c3,0x0000,0x0000,0x0000
[M:B23],0xc0c4,0x0000,0x0000,0x0000
[M:B24],0xc0c5,0x0000,0x0000,0x0000
[M:OP00],0xc0c6,0x0000,0x0000,0x0000
[M:OP01],0xc0c7,0x0000,0x0000,0x0000
[M:OP02],0xc0c8,0x0000,0x0000,0x0000
[M:OP03],0xc0c9,0x0000,0x0000,0x0000
[M:OP00ACT],0xc0ca,0x0000,0x0000,0x0000
[M:OP01ACT],0xc0cb,0x0000,0x0000,0x0000
[M:OP02ACT],0xc0cc,0x0000,0x0000,0x0000
[M:OP03ACT],0xc0cd,0x0000,0x0000,0x0000
[M:MYCHARA],0xc0ce,0x0000,0x0000,0x0000
[M:CONG],0xc0cf,0x0000,0x0000,0x0000
[M:CONH],0xc0d0,0x0000,0x0000,0x0000
[M:CUU],0xc0d1,0x0000,0x0000,0x0000
