text,char,flags,length,unk
[M:I1012],0xa02a,0x0000,0x0000,0x0010
[M:I1005],0xa02b,0x0000,0x0000,0x0010
[M:I1006],0xa02c,0x0000,0x0000,0x0010
[M:SHUFFLE],0xa02d,0x0000,0x0000,0x0010
[M:NBKG1],0xa02e,0x0000,0x0000,0x0008
[M:NBKG2],0xa02f,0x0000,0x0000,0x0008
[M:NBKG3],0xa030,0x0000,0x0000,0x0008
[M:NBKG4],0xa031,0x0000,0x0000,0x0004
[M:IDENSHI],0xa032,0x0000,0x0000,0x0010
[M:SUPER],0xa033,0x0000,0x0000,0x0010
[M:I1001R],0xa034,0x0000,0x0000,0x0010
[M:I1001Y],0xa035,0x0000,0x0000,0x0010
[M:I1001V],0xa036,0x0000,0x0000,0x0010
[M:I1001P],0xa037,0x0000,0x0000,0x0010
[M:I1001S],0xa038,0x0000,0x0000,0x0010
[M:ICHO1],0xa039,0x0000,0x0000,0x0010
[M:I0101],0xa03a,0x0000,0x0000,0x0010
[M:I0104],0xa03b,0x0000,0x0000,0x0010
[M:I0102],0xa03c,0x0000,0x0000,0x0010
[M:IWAND],0xa03d,0x0000,0x0000,0x0010
[M:I0809],0xa03e,0x0000,0x0000,0x0010
[M:I0810],0xa03f,0x0000,0x0000,0x0010
[M:I0811],0xa040,0x0000,0x0000,0x0010
[M:I1402],0xa041,0x0000,0x0000,0x0010
[M:SEAL01],0xa042,0x0000,0x0000,0x0010
[M:SEAL02],0xa043,0x0000,0x0000,0x0010
[M:SEAL03],0xa044,0x0000,0x0000,0x0010
[M:SEAL04],0xa045,0x0000,0x0000,0x0010
[M:SEAL05],0xa046,0x0000,0x0000,0x0010
[M:SEAL06],0xa047,0x0000,0x0000,0x0010
[M:TUBO],0xa048,0x0000,0x0000,0x0010
[M:ICOO1],0xa049,0x0000,0x0000,0x0010
[M:I0701],0xa04a,0x0000,0x0000,0x0010
[M:IDL21],0xa04b,0x0000,0x0000,0x0010
[M:IDL22],0xa04c,0x0000,0x0000,0x0010
[M:IDL23],0xa04d,0x0000,0x0000,0x0010
[M:CONTI04],0xa04e,0x0000,0x0000,0x0010
[M:CONTI06],0xa04f,0x0000,0x0000,0x0010
[M:WAKU4],0xa050,0x0000,0x0000,0x0010
[M:WAKU0],0xa051,0x0000,0x0000,0x0010
[M:TNORMAL],0xa052,0x0000,0x0000,0x0010
[M:TFIRE],0xa053,0x0000,0x0000,0x0010
[M:TGRASS],0xa054,0x0000,0x0000,0x0010
[M:TWATER],0xa055,0x0000,0x0000,0x0010
[M:TELECTRIC],0xa056,0x0000,0x0000,0x0010
[M:TGROUND],0xa057,0x0000,0x0000,0x0010
[M:TFLYING],0xa058,0x0000,0x0000,0x0010
[M:TPSYCHIC],0xa059,0x0000,0x0000,0x0010
[M:TFAIRY],0xa05a,0x0000,0x0000,0x0010
[M:I1013],0xa05b,0x0000,0x0000,0x0010
[M:LOOPOFF],0xa05c,0x0000,0x0000,0x0010
[M:LOOPON],0xa05d,0x0000,0x0000,0x0010
[M:CONTI05],0xa05e,0x0000,0x0000,0x0010
[M:CONTI03],0xa05f,0x0000,0x0000,0x0010
[M:CONTI01],0xa060,0x0000,0x0000,0x0010
[M:CONTI02],0xa061,0x0000,0x0000,0x0010
[M:TBUG],0xa062,0x0000,0x0000,0x0010
[M:TROCK],0xa063,0x0000,0x0000,0x0010
[M:TGHOST],0xa064,0x0000,0x0000,0x0010
[M:TFIGHTING],0xa065,0x0000,0x0000,0x0010
[M:TPOISON],0xa066,0x0000,0x0000,0x0010
[M:TICE],0xa067,0x0000,0x0000,0x0010
[M:TSTEEL],0xa068,0x0000,0x0000,0x0010
[M:TDRAGON],0xa069,0x0000,0x0000,0x0010
[M:TDARK],0xa06a,0x0000,0x0000,0x0010
[M:IDL35],0xa06b,0x0000,0x0000,0x0010
[M:OPEN],0xa06c,0x0000,0x0000,0x0010
[M:HELPER],0xa06d,0x0000,0x0000,0x0010
[M:ORB],0xa06e,0x0000,0x0000,0x0010
[M:QNEW],0xa06f,0x0000,0x0000,0x0010
[M:QCONTINUE],0xa070,0x0000,0x0000,0x0010
[M:QPRESENT],0xa071,0x0000,0x0000,0x0010
[M:MONEY],0xa072,0x0000,0x0000,0x0010
[M:MONEYS],0xa073,0x0000,0x0000,0x0010
[M:INGOT],0xa074,0x0000,0x0000,0x0010
[M:BAGS],0xa075,0x0000,0x0000,0x0010
[M:BOX],0xa076,0x0000,0x0000,0x0010
[M:I1603],0xa077,0x0000,0x0000,0x0010
[M:I1602],0xa078,0x0000,0x0000,0x0010
[M:NEW],0xa079,0x0000,0x0000,0x0010
[M:LOCK],0xa07a,0x0000,0x0000,0x0010
[M:FORBID],0xa07b,0x0000,0x0000,0x0010
[M:FAVORITEA],0xa07c,0x0000,0x0000,0x0010
[M:RECYCLE],0xa07d,0x0000,0x0000,0x0010
[M:VWV],0xa07e,0x0000,0x0000,0x0010
[M:DLCI],0xa07f,0x0000,0x0000,0x0010
[M:PIOFF],0xa080,0x0000,0x0000,0x0010
[M:PION],0xa081,0x0000,0x0000,0x0010
[M:WC01],0xa082,0x0000,0x0000,0x0010
[M:WC02],0xa083,0x0000,0x0000,0x0010
[M:WC03],0xa084,0x0000,0x0000,0x0010
[M:WC04],0xa085,0x0000,0x0000,0x0010
[M:WC05],0xa086,0x0000,0x0000,0x0010
[M:WC06],0xa087,0x0000,0x0000,0x0010
[M:WC07],0xa088,0x0000,0x0000,0x0010
[M:WC08],0xa089,0x0000,0x0000,0x0010
[M:B01],0xa08a,0x0000,0x0000,0x0018
[M:B02],0xa08b,0x0000,0x0000,0x0018
[M:TICKET],0xa08c,0x0000,0x0000,0x0010
[M:AT],0xa08d,0x0000,0x0000,0x0010
[M:S01],0xa08e,0x0000,0x0000,0x0008
[M:CM00],0xa08f,0x0000,0x0000,0x0008
[M:Q02],0xa090,0x0000,0x0000,0x0008
[M:CM01],0xa091,0x0000,0x0000,0x0008
[M:CM02],0xa092,0x0000,0x0000,0x0008
[M:WE00],0xa093,0x0000,0x0000,0x0010
[M:WE01],0xa094,0x0000,0x0000,0x0010
[M:WE02],0xa095,0x0000,0x0000,0x0010
[M:WE03],0xa096,0x0000,0x0000,0x0010
[M:WE04],0xa097,0x0000,0x0000,0x0010
[M:WE05],0xa098,0x0000,0x0000,0x0010
[M:WE06],0xa099,0x0000,0x0000,0x0010
[M:WE07],0xa09a,0x0000,0x0000,0x0010
[M:B05],0xa09b,0x0000,0x0000,0x0010
[M:B06],0xa09c,0x0000,0x0000,0x0010
[M:B03],0xa09d,0x0000,0x0000,0x0010
[M:B04],0xa09e,0x0000,0x0000,0x0010
[M:B08],0xa09f,0x0000,0x0000,0x0010
[M:B07],0xa0a0,0x0000,0x0000,0x0010
[M:RIBBON],0xa0a1,0x0000,0x0000,0x0010
[M:APPLE2],0xa0a2,0x0000,0x0000,0x0010
[M:WE08],0xa0a3,0x0000,0x0000,0x0010
[M:WE09],0xa0a4,0x0000,0x0000,0x0010
[M:WE10],0xa0a5,0x0000,0x0000,0x0010
